model,feature_idx,feature_id,feature_kind,config_label,index_type,nlist,nprobe,M_hnsw,efSearch,m_pq,top10_in_top100_recall,recall_at_10,recall_at_100,concept_purity,score_gap,spearman_top100,ms_query_mean,ms_query_p50,ms_query_p95,build_time_s,train_time_s,add_time_s,index_size_bytes,index_size_mb
gemma-2-2b,0,10762,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,1.1e-05,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,1,6810,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.9988,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,2,11114,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.8,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,3,6335,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,-4e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,4,13295,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,-8e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,5,6745,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,-4e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,6,3447,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,7,12342,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,0.9,0.45,0.0,-1.1e-05,0.7817,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,8,6795,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,-2e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,9,11221,lexicon,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,0.0,-2e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,10,6980,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,11,14956,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,-2e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,12,13579,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,-1e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,13,12106,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,1e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,14,5969,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,15,13591,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,-1e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,16,6360,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,17,1418,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,18,2606,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,4e-06,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,19,7712,random,FlatIP,FlatIP,0,0,0,0,0,1.0,1.0,1.0,,0.0,1.0,6007.636,6003.341,6036.158,165.4,0.0,165.4,92158820397,87889.5
gemma-2-2b,0,10762,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.11,0.0,-3.715229,1.0,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,1,6810,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.6,0.6,0.35,0.0,-2.225662,0.9997,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,2,11114,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.0,0.0,0.0,0.4,-26.431048,,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
gemma-2-2b,3,6335,lexicon,IVFFlat_nl1024_np1,IVFFlat,1024,1,0,0,0,0.9,0.9,0.91,0.0,-0.027451,1.0,4.611,3.865,11.171,2569.36,517.79,2051.57,92248264843,87974.8
